id,name,age,score,category
1,Muriel's Wedding (1994),30,4.0,Comedy
"2,""American in Paris, An (1951)"",32,3.0,Musical"
3,Highlander (1986),26,4.0,Action
4,She's So Lovely (1997),20,2.0,Drama
5,GoodFellas (1990),28,2.0,Crime
6,Reality Bites (1994),21,3.0,Comedy
"7,""English Patient, The (1996)"",40,5.0,Drama"
8,It's a Wonderful Life (1946),20,4.0,Drama
9,Mr. Holland's Opus (1995),36,3.0,Drama
10,Army of Darkness (1993),19,4.0,Action
11,My Fellow Americans (1996),22,4.0,Comedy
12,Speed (1994),25,4.0,Action
"13,""Family Thing, A (1996)"",50,3.0,Comedy"
14,Snow White and the Seven Dwarfs (1937),24,4.0,Animation
15,Crimson Tide (1995),60,3.0,Drama
"16,""English Patient, The (1996)"",28,3.0,Drama"
"17,""Postino, Il (1994)"",29,2.0,Drama"
18,Aliens (1986),30,3.0,Action
19,Picnic (1955),35,4.0,Drama
20,Speed (1994),19,3.0,Action
21,Aliens (1986),28,4.0,Action
"22,""First Wives Club, The (1996)"",47,2.0,Comedy"
23,Jurassic Park (1993),32,3.0,Action
24,East of Eden (1955),60,3.0,Drama
25,Ulee's Gold (1997),20,3.0,Drama
"26,""Close Shave, A (1995)"",21,5.0,Animation"
27,Casablanca (1942),36,4.0,Drama
28,Apocalypse Now (1979),28,5.0,Drama
29,Mystery Science Theater 3000: The Movie (1996),46,3.0,Comedy
30,Reservoir Dogs (1992),20,5.0,Crime
31,Manny & Lo (1996),18,3.0,Drama
32,GoldenEye (1995),36,4.0,Action
"33,""Trigger Effect, The (1996)"",35,3.0,Drama"
34,Pink Floyd - The Wall (1982),32,3.0,Drama
35,Big Bully (1996),19,3.0,Comedy
"36,""Devil's Own, The (1997)"",23,4.0,Action"
37,G.I. Jane (1997),47,3.0,Action
38,Glory (1989),20,5.0,Action
39,Aladdin (1992),37,4.0,Animation
40,Eat Drink Man Woman (1994),43,5.0,Comedy
41,Schindler's List (1993),33,5.0,Drama
42,In the Line of Fire (1993),22,5.0,Action
43,I Know What You Did Last Summer (1997),53,4.0,Horror
"44,""Net, The (1995)"",22,2.0,Sci-Fi"
45,Men in Black (1997),20,3.0,Action
"46,""Firm, The (1993)"",48,4.0,Drama"
47,Pete's Dragon (1977),22,3.0,Adventure
48,Ran (1985),28,3.0,Drama
49,Star Trek IV: The Voyage Home (1986),41,3.0,Action
50,Escape from New York (1981),30,2.0,Action
51,Leaving Las Vegas (1995),51,5.0,Drama
52,Addams Family Values (1993),24,3.0,Comedy
"53,""Treasure of the Sierra Madre, The (1948)"",48,5.0,Adventure"
54,It's My Party (1995),25,4.0,Drama
55,Patton (1970),28,4.0,Drama
"56,""Godfather: Part II, The (1974)"",46,5.0,Action"
57,Jaws (1975),21,4.0,Action
"58,""Preacher's Wife, The (1996)"",32,3.0,Drama"
59,Beavis and Butt-head Do America (1996),29,1.0,Animation
60,Ransom (1996),49,3.0,Drama
"61,""Young Poisoner's Handbook, The (1995)"",39,4.0,Crime"
62,Highlander (1986),53,3.0,Action
63,Heat (1995),26,5.0,Action
64,My Favorite Season (1993),49,5.0,Drama
"65,""Terminator, The (1984)"",43,4.0,Action"
66,Back to the Future (1985),44,3.0,Comedy
67,Wolf (1994),33,2.0,Drama
68,Mars Attacks! (1996),36,2.0,Action
